"rose_fanfic" "anne_fanfic" "anonymous_fanfic"
"knock" 0 0.130890052356021 0
"leaned" 0.131061598951507 0 0
"least" 0.131061598951507 0 0
"led" 0.0655307994757536 0 0.0575043128234618
"let" 0.0655307994757536 0.0654450261780105 0
"life" 0.0655307994757536 0 0.0575043128234618
"liked" 0 0.130890052356021 0
"lit" 0.0655307994757536 0 0.0575043128234618
"lost" 0.0655307994757536 0 0.0575043128234618
"low" 0 0 0.115008625646924
"means" 0 0.130890052356021 0
"meant" 0 0.130890052356021 0
"meet" 0 0 0.115008625646924
"mind" 0 0.130890052356021 0
"minutes" 0.0655307994757536 0.0654450261780105 0
"most" 0.131061598951507 0 0
"mouth" 0 0 0.115008625646924
"muttered" 0.0655307994757536 0 0.0575043128234618
"named" 0 0 0.115008625646924
"need" 0 0.0654450261780105 0.0575043128234618
"needed" 0 0.0654450261780105 0.0575043128234618
"nervous" 0.0655307994757536 0 0.0575043128234618
"nice" 0.0655307994757536 0 0.0575043128234618
"night" 0 0 0.115008625646924
"nodded" 0 0.0654450261780105 0.0575043128234618
"noise" 0.0655307994757536 0 0.0575043128234618
"noisy" 0 0.130890052356021 0
"others" 0 0 0.115008625646924
"own" 0 0.130890052356021 0
"parchment" 0.131061598951507 0 0
"past" 0 0.0654450261780105 0.0575043128234618
"perfectly" 0.0655307994757536 0.0654450261780105 0
